code,term,dmd_id,dmd_type,bnf_code
42353711000001101,Esomeprazole 20mg gastro-resistant tablets,42353711000001101,VMP,0103050E0AAAAAA
19675711000001104,Esomeprazole 20mg gastro-resistant tablets,19675711000001104,AMP,0103050E0AAAAAA
20947311000001106,Esomeprazole 20mg gastro-resistant tablets,20947311000001106,AMP,0103050E0AAAAAA
21733711000001100,Esomeprazole 20mg gastro-resistant tablets,21733711000001100,AMP,0103050E0AAAAAA
30762311000001105,Esomeprazole 20mg gastro-resistant tablets,30762311000001105,AMP,0103050E0AAAAAA
45579211000001108,Esomeprazole 20mg gastro-resistant tablets,45579211000001108,AMP,0103050E0AAAAAA
36378411000001100,Esomeprazole 20mg gastro-resistant tablets,36378411000001100,AMP,0103050E0AAAAAA
37121611000001104,Esomeprazole 20mg gastro-resistant tablets,37121611000001104,AMP,0103050E0AAAAAA
23975411000001108,Esomeprazole 20mg gastro-resistant tablets,23975411000001108,AMP,0103050E0AAAAAA
32412011000001109,Esomeprazole 20mg gastro-resistant tablets,32412011000001109,AMP,0103050E0AAAAAA
30126611000001103,Esomeprazole 20mg gastro-resistant tablets,30126611000001103,AMP,0103050E0AAAAAA
38891611000001109,Esomeprazole 20mg gastro-resistant tablets,38891611000001109,AMP,0103050E0AAAAAA
37210911000001107,Esomeprazole 20mg gastro-resistant tablets,37210911000001107,AMP,0103050E0AAAAAA
44761611000001107,Esomeprazole 20mg gastro-resistant tablets,44761611000001107,AMP,0103050E0AAAAAA
23914611000001100,Esomeprazole 20mg gastro-resistant tablets,23914611000001100,AMP,0103050E0AAAAAA
24662211000001107,Esomeprazole 20mg gastro-resistant tablets,24662211000001107,AMP,0103050E0AAAAAA
29857911000001103,Esomeprazole 20mg gastro-resistant tablets,29857911000001103,AMP,0103050E0AAAAAA
20101411000001102,Esomeprazole 20mg gastro-resistant tablets,20101411000001102,AMP,0103050E0AAAAAA
19629111000001102,Esomeprazole 20mg gastro-resistant tablets,19629111000001102,AMP,0103050E0AAAAAA
36855211000001106,Esomeprazole 20mg gastro-resistant tablets,36855211000001106,AMP,0103050E0AAAAAA
21977111000001100,Esomeprazole 20mg gastro-resistant tablets,21977111000001100,AMP,0103050E0AAAAAA
22809711000001107,Esomeprazole 20mg gastro-resistant tablets,22809711000001107,AMP,0103050E0AAAAAA
42353811000001109,Esomeprazole 40mg gastro-resistant tablets,42353811000001109,VMP,0103050E0AAABAB
19675911000001102,Esomeprazole 40mg gastro-resistant tablets,19675911000001102,AMP,0103050E0AAABAB
20947511000001100,Esomeprazole 40mg gastro-resistant tablets,20947511000001100,AMP,0103050E0AAABAB
21734011000001100,Esomeprazole 40mg gastro-resistant tablets,21734011000001100,AMP,0103050E0AAABAB
30762511000001104,Esomeprazole 40mg gastro-resistant tablets,30762511000001104,AMP,0103050E0AAABAB
45579711000001101,Esomeprazole 40mg gastro-resistant tablets,45579711000001101,AMP,0103050E0AAABAB
36379611000001106,Esomeprazole 40mg gastro-resistant tablets,36379611000001106,AMP,0103050E0AAABAB
41409711000001100,Esomeprazole 40mg gastro-resistant tablets,41409711000001100,AMP,0103050E0AAABAB
23975711000001102,Esomeprazole 40mg gastro-resistant tablets,23975711000001102,AMP,0103050E0AAABAB
32412211000001104,Esomeprazole 40mg gastro-resistant tablets,32412211000001104,AMP,0103050E0AAABAB
37064211000001100,Esomeprazole 40mg gastro-resistant tablets,37064211000001100,AMP,0103050E0AAABAB
38891811000001108,Esomeprazole 40mg gastro-resistant tablets,38891811000001108,AMP,0103050E0AAABAB
37211111000001103,Esomeprazole 40mg gastro-resistant tablets,37211111000001103,AMP,0103050E0AAABAB
44761811000001106,Esomeprazole 40mg gastro-resistant tablets,44761811000001106,AMP,0103050E0AAABAB
23914811000001101,Esomeprazole 40mg gastro-resistant tablets,23914811000001101,AMP,0103050E0AAABAB
24662911000001103,Esomeprazole 40mg gastro-resistant tablets,24662911000001103,AMP,0103050E0AAABAB
29858111000001100,Esomeprazole 40mg gastro-resistant tablets,29858111000001100,AMP,0103050E0AAABAB
20101811000001100,Esomeprazole 40mg gastro-resistant tablets,20101811000001100,AMP,0103050E0AAABAB
19630711000001106,Esomeprazole 40mg gastro-resistant tablets,19630711000001106,AMP,0103050E0AAABAB
36855411000001105,Esomeprazole 40mg gastro-resistant tablets,36855411000001105,AMP,0103050E0AAABAB
21977311000001103,Esomeprazole 40mg gastro-resistant tablets,21977311000001103,AMP,0103050E0AAABAB
22808511000001108,Esomeprazole 40mg gastro-resistant tablets,22808511000001108,AMP,0103050E0AAABAB
