code,term
100151000000109,Sitting systolic blood pressure
100171000000100,Lying systolic blood pressure
1162737008,Self reported systolic blood pressure
12929001,Systolic arterial pressure within reference range
163030003,On examination - Systolic blood pressure reading
18050000,Systolic arterial pressure above reference range
18352002,Systolic arterial pressure outside reference range
198081000000101,Ambulatory systolic blood pressure
213031000000105,Ambulatory systolic blood pressure
213041000000101,Ambulatory systolic blood pressure
251070002,Non-invasive systolic arterial pressure
271649006,Systolic blood pressure
314438006,Minimum systolic blood pressure
314440001,Average systolic blood pressure
314441002,Minimum day interval systolic blood pressure
314442009,Minimum night interval systolic blood pressure
314445006,Average night interval systolic blood pressure
314446007,Average day interval systolic blood pressure
314447003,Minimum 24 hour systolic blood pressure
314449000,Average 24 hour systolic blood pressure
314464000,24 hour systolic blood pressure
400974009,Standing systolic blood pressure
407554009,Sitting systolic blood pressure
407556006,Lying systolic blood pressure
413606001,Average home systolic blood pressure
707303003,Post exercise systolic blood pressure response outside reference range
707304009,Post exercise systolic blood pressure response within reference range
716579001,Baseline systolic blood pressure
72313002,Systolic arterial pressure
75131000000106,Standing systolic blood pressure
775671000000104,Post exercise systolic blood pressure response normal
79401000000106,Standing systolic blood pressure
81010002,Systolic arterial pressure below reference range
945871000000107,Baseline systolic blood pressure
945881000000109,Baseline systolic blood pressure 
95281000000109,Sitting systolic blood pressure
95301000000105,Lying systolic blood pressure
