code,term
129151000119102,Chronic kidney disease stage 4 due to hypertension
1332468003,Hypertension in chronic kidney disease stage 4 due to type 1 diabetes mellitus
140111000119107,Hypertension in chronic kidney disease stage 4 due to type 2 diabetes mellitus
200461000000103,Chronic kidney disease stage 4
211981000000106,Chronic kidney disease stage 4
211991000000108,Chronic kidney disease stage 4
285001000119105,Chronic kidney disease stage 4 due to benign hypertension
285881000119109,Malignant hypertensive chronic kidney disease stage 4
324441000000106,Chronic kidney disease stage 4 with proteinuria
324451000000109,Chronic kidney disease stage 4 with proteinuria 
324461000000107,Chronic kidney disease stage 4 with proteinuria 
324471000000100,Chronic kidney disease stage 4 without proteinuria
324481000000103,Chronic kidney disease stage 4 without proteinuria 
324491000000101,Chronic kidney disease stage 4 without proteinuria 
368451000119100,Chronic kidney disease stage 4 due to drug induced diabetes mellitus
431857002,Chronic kidney disease stage 4
691401000119104,Anemia co-occurrent and due to chronic kidney disease stage 4
721000119107,Chronic kidney disease stage 4 due to type 2 diabetes mellitus
834031000000107,Chronic kidney disease stage 4
90751000119109,Chronic kidney disease stage 4 due to type 1 diabetes mellitus
950181000000106,Chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A1
950191000000108,Chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A1 
950211000000107,Chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A2
950221000000101,Chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A2 
950231000000104,Chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A3
950241000000108,Chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A3 
96721000119103,Hypertensive heart AND chronic kidney disease stage 4
