code,term
111411000119103,End stage renal disease due to hypertension
1148920008,Inflammation of retina due to chronic kidney disease stage 5
129161000119100,Chronic kidney disease stage 5 due to hypertension
1332467008,Hypertension in chronic kidney disease stage 5 due to type 1 diabetes mellitus
140101000119109,Hypertension in chronic kidney disease stage 5 due to type 2 diabetes mellitus
153851000119106,Malignant hypertensive chronic kidney disease stage 5
200471000000105,Chronic kidney disease stage 5
212001000000106,Chronic kidney disease stage 5
212011000000108,Chronic kidney disease stage 5
236434000,End stage renal failure untreated by renal replacement therapy
285011000119108,Chronic kidney disease stage 5 due to benign hypertension
285841000119104,Malignant hypertensive end stage renal disease
324501000000107,Chronic kidney disease stage 5 with proteinuria
324511000000109,Chronic kidney disease stage 5 with proteinuria 
324521000000103,Chronic kidney disease stage 5 with proteinuria 
324541000000105,Chronic kidney disease stage 5 without proteinuria
324551000000108,Chronic kidney disease stage 5 without proteinuria 
324561000000106,Chronic kidney disease stage 5 without proteinuria 
368461000119103,Chronic kidney disease stage 5 due to drug induced diabetes mellitus
433146000,Chronic kidney disease stage 5
46177005,End-stage renal disease
691411000119101,Anemia co-occurrent and due to chronic kidney disease stage 5
707324008,Anemia co-occurrent and due to end stage renal disease
711000119100,Chronic kidney disease stage 5 due to type 2 diabetes mellitus
712487000,End stage renal disease due to benign hypertension
834041000000103,Chronic kidney disease stage 5
90761000119106,Chronic kidney disease stage 5 due to type 1 diabetes mellitus
950251000000106,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A1
950261000000109,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A1 
950291000000103,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A2
950301000000104,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A2 
950311000000102,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A3
950321000000108,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A3 
96711000119105,Hypertensive heart AND chronic kidney disease stage 5
