code,term
K40,Saphenous vein graft replacement of coronary artery
K41,Other autograft replacement of coronary artery
K42,Allograft replacement of coronary artery
K43,Prosthetic replacement of coronary artery
K44,Other replacement of coronary artery
K45,Connection of thoracic artery to coronary artery
K46,Other bypass of coronary artery
K47,Repair of coronary artery
K48,Other open operations on coronary artery
K49,Transluminal balloon angioplasty of coronary artery
K50,Other therapeutic transluminal operations on coronary artery
K51,Diagnostic transluminal operations on coronary artery
K75,Percutaneous transluminal balloon angioplasty and insertion of stent into coronary artery
