code,term,dmd_id,dmd_type,bnf_code
36047011000001105,Insulin aspart 100units/ml solution for injection 10ml vials,36047011000001105,VMP,0601011A0AAAAAA
3468611000001108,Insulin aspart 100units/ml solution for injection 3ml cartridges,3468611000001108,VMP,0601011A0AAABAB
3468711000001104,Insulin aspart 100units/ml solution for injection 3ml pre-filled disposable devices,3468711000001104,VMP,0601011A0AAACAC
26655811000001102,Insulin aspart 100units/ml solution for injection 1.6ml cartridges,26655811000001102,VMP,0601011A0AAADAD
3280711000001103,NovoRapid 100units/ml solution for injection 10ml vials,3280711000001103,AMP,0601011A0BBAAAA
3279211000001105,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges,3279211000001105,AMP,0601011A0BBABAB
3281611000001102,NovoRapid Novolet 100units/ml solution for injection,3281611000001102,AMP,0601011A0BBACAC
3282211000001106,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens,3282211000001106,AMP,0601011A0BBADAC
19570211000001106,NovoRapid FlexTouch 100units/ml solution for injection 3ml pre-filled pens,19570211000001106,AMP,0601011A0BBAEAC
26209611000001109,NovoRapid PumpCart 100units/ml solution for injection 1.6ml cartridges,26209611000001109,AMP,0601011A0BBAFAD
34043011000001106,Fiasp FlexTouch 100units/ml solution for injection 3ml pre-filled pens,34043011000001106,AMP,0601011A0BCAAAC
34043211000001101,Fiasp Penfill 100units/ml solution for injection 3ml cartridges,34043211000001101,AMP,0601011A0BCABAB
34043411000001102,Fiasp 100units/ml solution for injection 10ml vials,34043411000001102,AMP,0601011A0BCACAA
39820211000001106,Trurapi 100units/ml solution for injection 3ml cartridges,39820211000001106,AMP,0601011A0BDAAAB
39820411000001105,Trurapi 100units/ml solution for injection 3ml pre-filled Solostar pens,39820411000001105,AMP,0601011A0BDABAC
40180811000001105,Trurapi 100units/ml solution for injection 10ml vials,40180811000001105,AMP,0601011A0BDACAA
36047511000001102,Insulin lispro 100units/ml solution for injection 1.5ml cartridges,36047511000001102,VMP,0601011L0AAAAAA
36047611000001103,Insulin lispro 100units/ml solution for injection 10ml vials,36047611000001103,VMP,0601011L0AAABAB
36047711000001107,Insulin lispro 100units/ml solution for injection 3ml cartridges,36047711000001107,VMP,0601011L0AAACAC
36047811000001104,Insulin lispro 100units/ml solution for injection 3ml pre-filled disposable devices,36047811000001104,VMP,0601011L0AAAFAF
28989711000001106,Insulin lispro 200units/ml solution for injection 3ml pre-filled disposable devices,28989711000001106,VMP,0601011L0AAAGAG
3282711000001104,Humalog 100units/ml solution for injection 1.5ml cartridges,3282711000001104,AMP,0601011L0BBAAAA
3280111000001104,Humalog 100units/ml solution for injection 10ml vials,3280111000001104,AMP,0601011L0BBABAB
3284311000001105,Humalog 100units/ml solution for injection 3ml cartridges,3284311000001105,AMP,0601011L0BBACAC
3278511000001102,Humalog Pen 100units/ml solution for injection 3ml pre-filled pens,3278511000001102,AMP,0601011L0BBAFAF
13877811000001105,Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pens,13877811000001105,AMP,0601011L0BBAGAF
28926811000001100,Humalog KwikPen 200units/ml solution for injection 3ml pre-filled pens,28926811000001100,AMP,0601011L0BBAHAG
35216811000001101,Humalog Junior KwikPen 100units/ml solution for injection 3ml pre-filled pens,35216811000001101,AMP,0601011L0BBAIAF
40322211000001107,Humalog Tempo Pen 100units/ml solution for injection 3ml pre-filled pens,40322211000001107,AMP,0601011L0BBAJAF
35776411000001102,Insulin lispro Sanofi 100units/ml solution for injection 10ml vials,35776411000001102,AMP,0601011L0BCAAAB
35776511000001103,Insulin lispro Sanofi 100units/ml solution for injection 3ml cartridges,35776511000001103,AMP,0601011L0BCABAC
35776811000001100,Insulin lispro Sanofi 100units/ml solution for injection 3ml pre-filled pens,35776811000001100,AMP,0601011L0BCACAF
38501011000001104,Lyumjev KwikPen 200units/ml solution for injection 3ml pre-filled pens,38501011000001104,AMP,0601011L0BDAAAG
38456911000001105,Lyumjev 100units/ml solution for injection 10ml vials,38456911000001105,AMP,0601011L0BDABAB
38456111000001107,Lyumjev 100units/ml solution for injection 3ml cartridges,38456111000001107,AMP,0601011L0BDACAC
38465811000001104,Lyumjev KwikPen 100units/ml solution for injection 3ml pre-filled pens,38465811000001104,AMP,0601011L0BDADAF
38479611000001109,Lyumjev Junior KwikPen 100units/ml solution for injection 3ml pre-filled pens,38479611000001109,AMP,0601011L0BDAEAF
40322611000001109,Lyumjev Tempo Pen 100units/ml solution for injection 3ml pre-filled pens,40322611000001109,AMP,0601011L0BDAFAF
40031711000001108,Admelog 100units/ml solution for injection 3ml cartridges,40031711000001108,AMP,0601011L0BEAAAC
40032311000001100,Admelog 100units/ml solution for injection 10ml vials,40032311000001100,AMP,0601011L0BEABAB
40033011000001107,Admelog 100units/ml solution for injection 3ml pre-filled pens,40033011000001107,AMP,0601011L0BEACAF
36048111000001107,Insulin soluble bovine 100units/ml solution for injection 10ml vials,36048111000001107,VMP,0601011N0AAAAAA
36048711000001108,Insulin soluble porcine 100units/ml solution for injection 10ml vials,36048711000001108,VMP,0601011N0AAACAC
36048211000001101,Insulin soluble human 100units/ml solution for injection 1.5ml cartridges,36048211000001101,VMP,0601011N0AAADAD
36048311000001109,Insulin soluble human 100units/ml solution for injection 10ml vials,36048311000001109,VMP,0601011N0AAALAL
36048511000001103,Insulin soluble human 100units/ml solution for injection 3ml pre-filled disposable devices,36048511000001103,VMP,0601011N0AAAMAM
36048411000001102,Insulin soluble human 100units/ml solution for injection 3ml cartridges,36048411000001102,VMP,0601011N0AAAPAP
36048011000001106,Insulin soluble bovine 100units/ml solution for injection 1.5ml cartridges,36048011000001106,VMP,0601011N0AAATAT
3474611000001109,Insulin soluble porcine 100units/ml solution for injection 1.5ml cartridges,3474611000001109,VMP,0601011N0AAAUAU
36048611000001104,Insulin soluble human 100units/ml solution for injection 5ml vials,36048611000001104,VMP,0601011N0AAAWAW
4033311000001106,Insulin soluble bovine 100units/ml solution for injection 3ml cartridges,4033311000001106,VMP,0601011N0AAAYAY
4053711000001109,Insulin soluble porcine 100units/ml solution for injection 3ml cartridges,4053711000001109,VMP,0601011N0AAAZAZ
3271311000001101,Hypurin Bovine Neutral 100units/ml solution for injection 10ml vials,3271311000001101,AMP,0601011N0BCAAAA
3274011000001101,Hypurin Bovine Neutral 100units/ml solution for injection 1.5ml cartridges,3274011000001101,AMP,0601011N0BCADAT
3285011000001106,Hypurin Porcine Neutral 100units/ml solution for injection 10ml vials,3285011000001106,AMP,0601011N0BCAEAC
3283411000001101,Hypurin Porcine Neutral 100units/ml solution for injection 1.5ml cartridges,3283411000001101,AMP,0601011N0BCAFAU
4028811000001105,Hypurin Bovine Neutral 100units/ml solution for injection 3ml cartridges,4028811000001105,AMP,0601011N0BCAGAY
4034911000001109,Hypurin Porcine Neutral 100units/ml solution for injection 3ml cartridges,4034911000001109,AMP,0601011N0BCAHAZ
3312411000001103,Velosulin 100units/ml solution for injection 10ml vials,3312411000001103,AMP,0601011N0BFACAL
3312111000001108,Actrapid 100units/ml solution for injection 10ml vials,3312111000001108,AMP,0601011N0BFAEAL
3309511000001105,Human Actrapid Penfill 100units/ml solution for injection 1.5ml cartridges,3309511000001105,AMP,0601011N0BFAJAD
3288511000001106,Actrapid NovoLet 100units/ml solution for injection,3288511000001106,AMP,0601011N0BFAPAM
3310711000001105,Actrapid Penfill 100units/ml solution for injection 3ml cartridges,3310711000001105,AMP,0601011N0BFAQAP
3285611000001104,Pork Actrapid 100units/ml solution for injection 10ml vials,3285611000001104,AMP,0601011N0BFASAC
3312611000001100,Humulin S 100units/ml solution for injection 10ml vials,3312611000001100,AMP,0601011N0BHAAAL
3290411000001108,HumaJect S Pen 100units/ml solution for injection,3290411000001108,AMP,0601011N0BHACAM
3311311000001101,Humulin S 100units/ml solution for injection 3ml cartridges,3311311000001101,AMP,0601011N0BHADAP
3294911000001105,Insuman Rapid 100units/ml solution for injection 5ml vials,3294911000001105,AMP,0601011N0BKAAAW
3311611000001106,Insuman Rapid 100units/ml solution for injection 3ml cartridges,3311611000001106,AMP,0601011N0BKABAP
3291711000001105,Insuman Rapid 100units/ml solution for injection 3ml pre-filled OptiSet pens,3291711000001105,AMP,0601011N0BKACAM
36047211000001100,Insulin glulisine 100units/ml solution for injection 10ml vials,36047211000001100,VMP,0601011P0AAAAAA
9532111000001100,Insulin glulisine 100units/ml solution for injection 3ml cartridges,9532111000001100,VMP,0601011P0AAABAB
10097211000001102,Insulin glulisine 100units/ml solution for injection 3ml pre-filled disposable devices,10097211000001102,VMP,0601011P0AAACAC
9528811000001107,Apidra 100units/ml solution for injection 10ml vials,9528811000001107,AMP,0601011P0BBAAAA
9528311000001103,Apidra 100units/ml solution for injection 3ml cartridges,9528311000001103,AMP,0601011P0BBABAB
10093311000001103,Apidra 100units/ml solution for injection 3ml pre-filled OptiSet pens,10093311000001103,AMP,0601011P0BBACAC
10898411000001103,Apidra 100units/ml solution for injection 3ml OptiClik cartridges,10898411000001103,AMP,0601011P0BBADAB
12144611000001100,Apidra 100units/ml solution for injection 3ml pre-filled SoloStar pens,12144611000001100,AMP,0601011P0BBAEAC
10703011000001101,Insulin human 1mg inhalation powder blisters,10703011000001101,VMP,0601011Q0AAAAAA
10703111000001100,Insulin human 3mg inhalation powder blisters,10703111000001100,VMP,0601011Q0AAABAB
10690511000001105,Exubera 1mg inhalation powder blisters,10690511000001105,AMP,0601011Q0BBAAAA
10690811000001108,Exubera 3mg inhalation powder blisters,10690811000001108,AMP,0601011Q0BBABAB
15611411000001108,Insulin human 500units/ml solution for injection 20ml vials,15611411000001108,VMP,0601011R0AAABAB
28044911000001109,Insulin human 500units/ml solution for injection 20ml vials,28044911000001109,AMP,0601011R0AAABAB
18083911000001104,Insulin human 100units/ml solution for injection 3.15ml cartridges,18083911000001104,VMP,0601011R0AAACAC
13859411000001101,Insulin human 100units/ml solution for injection 10ml vials,13859411000001101,VMP,0601011R0AAADAD
15871011000001104,Insulin human 100units/ml solution for injection 10ml vials,15871011000001104,AMP,0601011R0AAADAD
35215111000001102,Insulin human 500units/ml solution for injection 3ml pre-filled disposable devices,35215111000001102,VMP,0601011R0AAAEAE
13850511000001105,Humulin R 100units/ml solution for injection 10ml vials,13850511000001105,AMP,0601011R0BBAAAD
15603111000001104,Humulin R 500units/ml solution for injection 20ml vials,15603111000001104,AMP,0601011R0BBABAB
18030311000001100,Insuman Infusat 100units/ml solution for injection 10ml vials,18030311000001100,AMP,0601011R0BCAAAD
18046311000001103,Insuman Infusat 100units/ml solution for injection 3.15ml cartridges,18046311000001103,AMP,0601011R0BDAAAC
35214311000001104,Humulin R KwikPen 500units/ml solution for injection 3ml pre-filled pens,35214311000001104,AMP,0601011R0BEAAAE
36630511000001105,Insulin glargine 100units/ml / Lixisenatide 33micrograms/ml solution for injection 3ml pre-filled disposable devices,36630511000001105,VMP,0601012ABAAAAAA
36630611000001109,Insulin glargine 100units/ml / Lixisenatide 50micrograms/ml solution for injection 3ml pre-filled disposable devices,36630611000001109,VMP,0601012ABAAABAB
36620611000001107,Suliqua 100units/ml / 33micrograms/ml solution for injection 3ml pre-filled SoloStar pens,36620611000001107,AMP,0601012ABBBAAAA
36618311000001109,Suliqua 100units/ml / 50micrograms/ml solution for injection 3ml pre-filled SoloStar pens,36618311000001109,AMP,0601012ABBBABAB
3471411000001109,Insulin isophane biphasic human 50/50 100units/ml suspension for injection 1.5ml cartridges,3471411000001109,VMP,0601012D0AAA2A2
3470111000001105,Insulin isophane biphasic human 20/80 100units/ml suspension for injection 3ml pre-filled disposable devices,3470111000001105,VMP,0601012D0AAA3A3
3471511000001108,Insulin isophane biphasic human 50/50 100units/ml suspension for injection 10ml vials,3471511000001108,VMP,0601012D0AAA4A4
3470711000001106,Insulin isophane biphasic human 30/70 100units/ml suspension for injection 10ml vials,3470711000001106,VMP,0601012D0AAAGAG
3472011000001108,Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 10ml vials,3472011000001108,VMP,0601012D0AAAIAI
3470511000001101,Insulin isophane biphasic human 30/70 100units/ml suspension for injection 1.5ml cartridges,3470511000001101,VMP,0601012D0AAAJAJ
3470011000001109,Insulin isophane biphasic human 20/80 100units/ml suspension for injection 3ml cartridges,3470011000001109,VMP,0601012D0AAAZAZ
3470911000001108,Insulin isophane biphasic human 30/70 100units/ml suspension for injection 3ml cartridges,3470911000001108,VMP,0601012D0AABABA
3471911000001101,Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 1.5ml cartridges,3471911000001101,VMP,0601012D0AABDBD
3469911000001105,Insulin isophane biphasic human 20/80 100units/ml suspension for injection 1.5ml cartridges,3469911000001105,VMP,0601012D0AABEBE
3471311000001102,Insulin isophane biphasic human 40/60 100units/ml suspension for injection 3ml pre-filled disposable devices,3471311000001102,VMP,0601012D0AABHBH
3469411000001102,Insulin isophane biphasic human 10/90 100units/ml suspension for injection 3ml cartridges,3469411000001102,VMP,0601012D0AABIBI
3469311000001109,Insulin isophane biphasic human 10/90 100units/ml suspension for injection 1.5ml cartridges,3469311000001109,VMP,0601012D0AABJBJ
3471211000001105,Insulin isophane biphasic human 40/60 100units/ml suspension for injection 3ml cartridges,3471211000001105,VMP,0601012D0AABKBK
3471111000001104,Insulin isophane biphasic human 40/60 100units/ml suspension for injection 1.5ml cartridges,3471111000001104,VMP,0601012D0AABLBL
3470411000001100,Insulin isophane biphasic human 25/75 100units/ml suspension for injection 5ml vials,3470411000001100,VMP,0601012D0AABMBM
3470211000001104,Insulin isophane biphasic human 25/75 100units/ml suspension for injection 3ml cartridges,3470211000001104,VMP,0601012D0AABNBN
3469511000001103,Insulin isophane biphasic human 10/90 100units/ml suspension for injection 3ml pre-filled disposable devices,3469511000001103,VMP,0601012D0AABQBQ
3469811000001100,Insulin isophane biphasic human 15/85 100units/ml suspension for injection 5ml vials,3469811000001100,VMP,0601012D0AABRBR
3469611000001104,Insulin isophane biphasic human 15/85 100units/ml suspension for injection 3ml cartridges,3469611000001104,VMP,0601012D0AABSBS
3471811000001106,Insulin isophane biphasic human 50/50 100units/ml suspension for injection 5ml vials,3471811000001106,VMP,0601012D0AABTBT
3471611000001107,Insulin isophane biphasic human 50/50 100units/ml suspension for injection 3ml cartridges,3471611000001107,VMP,0601012D0AABUBU
3469711000001108,Insulin isophane biphasic human 15/85 100units/ml suspension for injection 3ml pre-filled disposable devices,3469711000001108,VMP,0601012D0AABVBV
3470311000001107,Insulin isophane biphasic human 25/75 100units/ml suspension for injection 3ml pre-filled disposable devices,3470311000001107,VMP,0601012D0AABWBW
3471711000001103,Insulin isophane biphasic human 50/50 100units/ml suspension for injection 3ml pre-filled disposable devices,3471711000001103,VMP,0601012D0AABXBX
4033111000001109,Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 3ml cartridges,4033111000001109,VMP,0601012D0AABYBY
3471011000001100,Insulin isophane biphasic human 30/70 100units/ml suspension for injection 3ml pre-filled disposable devices,3471011000001100,VMP,0601012D0AABZBZ
3274811000001107,Humulin M3 100units/ml suspension for injection 10ml vials,3274811000001107,AMP,0601012D0BBACAG
3271011000001104,Humulin M5 100units/ml suspension for injection 10ml vials,3271011000001104,AMP,0601012D0BBAIA4
3272211000001102,HumaJect M3 Pen 100units/ml suspension for injection,3272211000001102,AMP,0601012D0BBAMBZ
3263611000001100,Humulin M2 100units/ml suspension for injection 3ml cartridges,3263611000001100,AMP,0601012D0BBARAZ
3273611000001105,Humulin M3 100units/ml suspension for injection 3ml cartridges,3273611000001105,AMP,0601012D0BBASBA
9437511000001101,Humulin M3 Pen 100units/ml suspension for injection 3ml pre-filled pens,9437511000001101,AMP,0601012D0BBAUBZ
17609511000001109,Humulin M3 KwikPen 100units/ml suspension for injection 3ml pre-filled pens,17609511000001109,AMP,0601012D0BBAVBZ
3267911000001102,Pork Mixtard 30 100units/ml suspension for injection 10ml vials,3267911000001102,AMP,0601012D0BCABAI
3275311000001104,Human Mixtard 30 Penfill 100units/ml suspension for injection 1.5ml cartridges,3275311000001104,AMP,0601012D0BCALAJ
3268711000001103,Human Mixtard 10 Penfill 100units/ml suspension for injection 1.5ml cartridges,3268711000001103,AMP,0601012D0BCAMBJ
3267811000001107,Human Mixtard 20 Penfill 100units/ml suspension for injection 1.5ml cartridges,3267811000001107,AMP,0601012D0BCANBE
3285511000001103,Human Mixtard 40 Penfill 100units/ml suspension for injection 1.5ml cartridges,3285511000001103,AMP,0601012D0BCAPBL
